rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,gaia_dist,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
3728,WASP-47,e,WASP-47 e,Transit,4,0.78959200,,,85.980,0.02149,Mass,0.161,6.35000,0,0,1,1,22h04m48.73s,331.203047,-12d01m08.0s,-12.018885,200.00,11.900,V (Johnson),11.789,5552.00,1.04,1.14,2018-06-21,1,1,0,0,0,0,,,,4.610,,,0.02149,,6.83000,,6.83000,1.810,0.017,,0.0791250,2457011.348610,BJD-TDB,0.2240,,3.205000,0.01461,<a refstr=VANDERBURG_ET_AL__2017 href=http://adsabs.harvard.edu/abs/2017AJ....154..237V target=ref>Vanderburg et al. 2017</a>,2015,<a refstr=BECKER_ET_AL__2015 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2015arXiv150802411B target=ref>Becker et al. 2015</a>,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3,0,84,16,http://exoplanet.eu/catalog/wasp-47_d/,,2015-10,,,22.08020313,45.748107,-48.186890,328.995618,-0.208516,,3.75,266.69,16.300,-41.800,44.900,15.000,-41.300,44.000,-27.06,,,4.34,,0.9990,0.380,[M/H],,1.8000,,,,,0,0,0,0,0,3,0,,11.900,12.721,,,10.613,10.310,10.192,10.165,10.236,10.172,8.745,,,,,,,,,,,,15,,0.735,,,0.303,0.118,0.421,,,,4
3729,WASP-48,b,WASP-48 b,Transit,1,2.14363000,,0.000000,80.090,0.80000,Mass,1.500,,0,0,0,0,19h24m38.96s,291.162330,+55d28m23.4s,55.473160,460.14,11.720,V (Johnson),11.523,5920.00,0.88,1.58,2018-04-26,1,1,0,0,0,0,,,,136.000,,,0.80000,,254.26400,,254.26400,16.814,0.154,0.960000,,,,,,4.250000,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2011,<a refstr=ENOCH_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011arXiv1104.2827E target=ref> Enoch et al. 2011 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,59,10,http://exoplanet.eu/catalog/wasp-48_b/,http://exoplanets.org/detail/WASP-48_b,2011-09,,,19.41082200,86.882482,17.627360,322.459515,75.045257,2.17,2.17,460.14,6.100,-28.000,28.600,6.100,-28.000,28.600,-19.68,,,4.03,,0.3200,-0.120,[Fe/H],,12.2000,,,,1SWASP J192438.98+552823.3,0,0,0,0,0,3,0,,11.720,,,,10.627,10.441,10.372,10.326,10.368,10.339,9.299,,,,,,,,,,,,9,,,,,0.186,0.069,0.255,,,,3
3730,WASP-49,b,WASP-49 b,Transit,1,2.78174000,,0.000000,84.890,0.37000,Mass,1.110,,0,0,0,0,06h04m21.46s,91.089427,-16d57m55.1s,-16.965294,170.00,11.360,V (Johnson),11.291,5600.00,0.92,0.97,2018-04-26,1,1,0,0,0,0,,,,56.800,,,0.37000,,117.59710,,117.59710,12.442,0.114,1.400000,,,,,,8.370000,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2012,<a refstr=LENDL_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012A%26A...544A..72L target=ref> Lendl et al. 2012 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,48,8,http://exoplanet.eu/catalog/wasp-49_b/,http://exoplanets.org/detail/WASP-49_b,2012-08,,,6.07262847,223.265048,-17.860157,91.368341,-40.399411,,5.11,195.64,54.800,-19.100,58.000,54.800,-19.100,58.000,41.73,4.60,G6 V,4.50,,1.4300,-0.230,[Fe/H],,0.9000,,,,,0,0,0,0,0,3,0,,11.360,,,,10.146,9.812,9.749,9.648,9.677,9.632,8.669,,,,,,,,,,,,10,,,,,0.334,0.063,0.397,,,,3
3731,WASP-5,b,WASP-5 b,Transit,1,1.62842790,0.026700,0.038000,86.900,1.58000,Mass,1.087,1.64000,0,0,0,1,23h57m23.76s,359.348991,-41d16m37.7s,-41.277149,300.00,12.300,V (Johnson),11.996,5700.00,0.96,1.03,2014-10-29,1,1,0,0,0,0,8.90000e-02,,34.3800,279.700,1706,,1.58000,,502.15000,,502.15000,12.184,0.112,1.180000,0.0987000,2454373.995980,HJD,0.3100,,,,<a refstr=GILLON_ET_AL__2009 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2009A&A...496..259G target=ref> Gillon et al. 2009 </a>,2008,<a refstr=ANDERSON_ET_AL__2008 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2008MNRAS.387L...4A target=ref> Anderson et al. 2008 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,136,20,http://exoplanet.eu/catalog/wasp-5_b/,http://exoplanets.org/detail/WASP-5_b,2008-06,,,23.95659940,337.593354,-72.018154,340.220277,-37.003814,,3.21,311.88,7.300,-15.900,17.500,7.300,-15.900,17.500,20.01,4.40,G4 V,4.39,,1.2400,0.090,[Fe/H],5.400,3.0500,,,,1SWASP J235723.74-411637.5,6,4,0,1,1,3,0,,12.300,,,,10.949,10.650,10.598,10.542,10.589,10.552,8.714,,,,,,,,,,,,9,,0.660,,,0.299,0.052,0.351,,,,4
3732,WASP-50,b,WASP-50 b,Transit,1,1.95510000,,0.010000,84.000,1.65000,Mass,1.220,,0,0,0,0,02h54m45.14s,43.688073,-10d53m53.1s,-10.898080,230.00,11.600,V (Johnson),11.552,5400.00,1.06,0.89,2018-04-26,1,1,0,0,0,0,,,,256.600,,,1.65000,,524.41950,,524.41950,13.675,0.125,2.000000,,,,,,7.530000,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2011,<a refstr=GILLON_ET_AL__2011 href=http://adsabs.harvard.edu/abs/2011arXiv1108.2641G target=ref> Gillon et al. 2011 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,37,10,http://exoplanet.eu/catalog/wasp-50_b/,http://exoplanets.org/detail/WASP-50_b,2011-09,,,2.91253820,189.679500,-56.789395,37.613812,-26.312299,,5.38,185.82,3.300,9.000,9.500,3.300,9.000,9.500,25.24,,,4.54,,2.1200,-0.120,[Fe/H],,2.6000,,,,,0,0,0,0,0,3,0,,11.600,,,,10.401,10.041,9.969,9.905,9.958,9.899,8.951,,,,,,,,,,,,9,,,,,0.360,0.072,0.432,,,,3
3733,WASP-52,b,WASP-52 b,Transit,1,1.74977980,0.027200,0.000000,85.350,0.46000,Mass,1.270,0.29000,0,0,0,0,23h13m58.74s,348.494748,+08d45m40.5s,8.761262,140.00,12.000,V (Johnson),11.954,5000.00,0.87,0.79,2014-05-14,1,1,0,0,0,0,1.94000e-01,,,,1315,,0.46000,,146.20000,,146.20000,14.240,0.131,2.710000,0.0754000,2455793.681430,HJD,0.6000,,7.380100,,<a refstr=HEBRARD_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...549A.134H target=ref> Hebrard et al. 2013 </a>,2012,<a refstr=HEBRARD_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...549A.134H target=ref> Hebrard et al. 2013 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,37,10,http://exoplanet.eu/catalog/wasp-52_b/,http://exoplanets.org/detail/WASP-52_b,2013-01,,,23.23298320,86.185434,-47.038277,352.920653,12.601142,,5.69,175.69,-6.900,-44.200,44.800,-6.900,-44.200,44.800,-1.04,5.20,K2 V,4.58,,2.4800,0.030,[Fe/H],0.400,3.6000,,,,,2,0,0,2,0,3,0,,12.000,12.900,,,10.588,10.186,10.086,10.011,10.094,9.983,8.395,,,,,,,,,,,,10,,,,,0.402,0.100,0.502,,,,3
3734,WASP-53,b,WASP-53 b,Transit,2,3.30984430,0.041010,0.030000,87.080,2.13200,Mass,1.074,2.28000,0,0,0,0,02h07m38.21s,31.909203,-20d39m42.6s,-20.661839,202.51,,,12.347,4953.00,0.84,0.80,2017-02-02,1,1,0,0,0,0,2.03000e-01,,,326.100,1053,,2.13200,,677.61356,,677.61356,12.038,0.110,,,2455943.566950,BJD,,,11.050000,,<a refstr=TRIAUD_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.467.1714T target=ref>Triaud et al. 2017</a>,2017,<a refstr=TRIAUD_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.467.1714T target=ref>Triaud et al. 2017</a>,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,3,0,21,7,http://exoplanet.eu/catalog/wasp-53_b/,,2017-01,,,2.12728017,196.640429,-71.447650,21.533158,-31.363535,4.94,4.94,202.51,-9.100,8.200,12.200,-9.100,8.200,12.200,-3.03,,,4.55,-0.463,2.3230,0.220,[Fe/H],,0.8600,,,,1SWASP J020738.22-203943.0,0,0,0,0,0,3,0,,,,,,10.959,10.474,10.390,10.366,10.430,10.239,9.302,,,,,,,,,,,,8,,,,,0.485,0.084,0.569,,,,3
3735,WASP-53,c,WASP-53 c,Transit,2,2840.00000000,3.730000,0.836900,,16.35000,Msini,,,0,0,0,0,02h07m38.21s,31.909203,-20d39m42.6s,-20.661839,202.51,,,12.347,4953.00,0.84,0.80,2017-02-02,0,1,0,0,0,0,,,198.6000,475.600,,,,16.35000,,5196.52050,5196.52050,,,,,2455456.000000,BJD,,,,,<a refstr=TRIAUD_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.467.1714T target=ref>Triaud et al. 2017</a>,2017,<a refstr=TRIAUD_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017MNRAS.467.1714T target=ref>Triaud et al. 2017</a>,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,3,0,17,7,http://exoplanet.eu/catalog/wasp-53_c/,,2017-01,,,2.12728017,196.640429,-71.447650,21.533158,-31.363535,4.94,4.94,202.51,-9.100,8.200,12.200,-9.100,8.200,12.200,-3.03,,,4.55,-0.463,2.3230,0.220,[Fe/H],,0.8600,,,,1SWASP J020738.22-203943.0,0,0,0,0,0,3,0,,,,,,10.959,10.474,10.390,10.366,10.430,10.239,9.302,,,,,,,,,,,,8,,,,,0.485,0.084,0.569,,,,3
3736,WASP-54,b,WASP-54 b,Transit,1,3.69364000,,0.070000,84.970,0.59000,Mass,1.580,,0,0,0,0,13h41m49.03s,205.454308,-00d07m41.1s,-0.128076,200.00,10.420,V (Johnson),10.244,6100.00,1.08,1.76,2018-04-26,1,1,0,0,0,0,,,,73.000,,,0.59000,,187.51970,,187.51970,17.710,0.162,0.860000,,,,,,5.880000,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2012,<a refstr=FAEDI_ET_AL__2013 href=http://adsabs.harvard.edu/abs/2013A%26A...551A..73F target=ref> Faedi et al. 2013 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,45,9,http://exoplanet.eu/catalog/wasp-54_b/,http://exoplanets.org/detail/WASP-54_b,2013-03,,,13.69695387,328.935840,60.175221,203.639162,9.724438,,3.95,253.03,-10.900,-24.700,27.000,-10.900,-24.700,27.000,-3.13,3.90,F9,4.00,,0.2800,-0.270,[Fe/H],,4.0000,,,,,2,0,0,2,0,3,0,,10.420,10.980,10.000,9.773,9.365,9.135,9.035,9.007,9.036,9.011,8.711,,,,,,,,,,,,12,,,,,0.230,0.100,0.330,,,,3
3737,WASP-55,b,WASP-55 b,Transit,1,4.46563000,,0.000000,89.600,0.61000,Mass,1.330,,0,0,0,0,13h35m01.95s,203.758114,-17d30m12.5s,-17.503464,330.00,11.800,V (Johnson),11.775,5900.00,1.11,1.09,2018-04-26,1,1,0,0,0,0,,,,70.000,,,0.61000,,193.87630,,193.87630,14.908,0.137,1.600000,,,,,,10.830000,,<a refstr=STASSUN_ET_AL__2017 href=http://adsabs.harvard.edu/cgi-bin/nph-bib_query?bibcode=2017AJ....153..136S target=ref>Stassun et al. 2017</a>,2012,<a refstr=HELLIER_ET_AL__2012 href=http://adsabs.harvard.edu/abs/2012MNRAS.426..739H target=ref> Hellier et al. 2012 </a>,Ground,SuperWASP,Canon 200mm f/1.8L,iKon-L CCD Camera,3,0,54,12,http://exoplanet.eu/catalog/wasp-55_b/,http://exoplanets.org/detail/WASP-55_b,2012-10,,,13.58387427,317.482524,44.133163,208.409719,-7.071629,,3.33,299.97,6.600,-14.100,15.600,12.100,-3.800,12.700,-4.32,,,4.30,,1.2000,-0.200,[Fe/H],,3.1000,,,,,1,0,0,1,0,3,0,,11.800,12.689,,,10.775,10.443,10.396,10.323,10.343,10.381,8.641,,,,,,,,,,,,15,,0.936,,,0.332,0.047,0.379,,,,4
